ts_ns,px,qty
1756195625000000000,110507.95,0.0834
1756195626000000000,110507.87,0.082
1756195627000000000,110507.86,0.0806
1756195628000000000,110507.86,0.07930000000000001
1756195629000000000,110507.86,0.078
1756195630000000000,110507.87,0.0767
1756195631000000000,110507.85,0.07540000000000001
1756195632000000000,110507.85,0.0742
1756195633000000000,110507.85,0.07300000000000001
1756195634000000000,110507.85,0.0718
1756195635000000000,110507.85,0.07060000000000001
1756195636000000000,110507.83,0.0695
1756195637000000000,110507.82,0.0683
1756195638000000000,110507.82,0.06720000000000001
1756195639000000000,110507.81,0.0661
1756195640000000000,110507.79000000001,0.065
1756195641000000000,110507.81,0.0639
1756195642000000000,110507.75,0.0629
1756195643000000000,110507.69,0.0618
1756195644000000000,110507.61,0.0608
1756195645000000000,110507.65000000001,0.059800000000000006
1756195646000000000,110507.57,0.058800000000000005
1756195647000000000,110507.56,0.0579
1756195648000000000,110507.55,0.0048000000000000004
1756195649000000000,110507.51000000001,0.0568
1756195650000000000,110507.48,0.0045000000000000005
1756195651000000000,110507.39,0.0558
1756195652000000000,110507.32,0.0045000000000000005
1756195653000000000,110507.27,0.054900000000000004
1756195654000000000,110507.19,0.054
1756195655000000000,110507.12,0.0045000000000000005
1756195656000000000,110507.12,0.053000000000000005
1756195657000000000,110507.12,0.0521
1756195658000000000,110507.08,0.051300000000000005
1756195659000000000,110507.06,0.0504
1756195660000000000,110507.06,0.05
1756195661000000000,110507.04000000001,0.05
1756195662000000000,110507.04000000001,0.05
1756195663000000000,110507.02,0.05
1756195664000000000,110507.0,0.05
1756195665000000000,110507.0,0.05
1756195666000000000,110507.0,0.05
1756195667000000000,110506.98,0.05
1756195668000000000,110506.98,0.05
1756195669000000000,110506.98,0.05
1756195670000000000,110506.96,0.05
1756195671000000000,110506.96,0.05
1756195672000000000,110506.94,0.05
1756195673000000000,110506.94,0.05
1756195674000000000,110506.92,0.05
1756195675000000000,110506.90000000001,0.05
1756195676000000000,110506.85,0.05
1756195677000000000,110506.85,0.05
1756195678000000000,110506.85,0.05
1756195679000000000,110506.85,0.05
1756195680000000000,110506.81,0.05
1756195681000000000,110506.81,0.05
1756195682000000000,110506.77,0.05
1756195683000000000,110506.77,0.05
1756195684000000000,110506.74,0.05
1756195685000000000,110506.74,0.05
1756195686000000000,110506.74,0.05
1756195687000000000,110506.7,0.05
1756195688000000000,110506.69,0.006
1756195689000000000,110506.68000000001,0.05
1756195690000000000,110506.68000000001,0.05
1756195691000000000,110506.66,0.05
1756195692000000000,110506.66,0.05
1756195693000000000,110506.64,0.05
1756195694000000000,110506.64,0.05
1756195695000000000,110506.64,0.05
1756195696000000000,110506.64,0.05
1756195697000000000,110506.6,0.05
1756195698000000000,110506.6,0.05
1756195699000000000,110506.48,0.05
1756195700000000000,110506.38,0.0002
1756195701000000000,110506.37,0.05
1756195702000000000,110506.37,0.05
1756195703000000000,110506.37,0.05
1756195704000000000,110506.37,0.05
1756195705000000000,110506.35,0.05
1756195706000000000,110506.31,0.05
1756195707000000000,110506.27,0.05
1756195708000000000,110506.27,0.05
1756195709000000000,110506.23,0.05
1756195710000000000,110506.23,0.05
1756195711000000000,110506.2,0.05
1756195712000000000,110506.15000000001,0.05
1756195713000000000,110506.14,0.006
1756195714000000000,110506.13,0.05
1756195715000000000,110506.13,0.05
1756195716000000000,110506.08,0.0045000000000000005
1756195717000000000,110506.09,0.05
1756195718000000000,110506.07,0.05
1756195719000000000,110506.06,0.0031000000000000003
1756195720000000000,110505.99,0.05
1756195721000000000,110506.02,0.0031000000000000003
1756195722000000000,110506.03,0.05
1756195723000000000,110505.97,0.05
1756195724000000000,110506.02,0.0031000000000000003
1756195725000000000,110505.98,0.0204
